"Product name ","Short Description","Regular Price","SKU","Attr - Flow Type","Attr - Flow Type Value","Attr - Material Type Name","Attr -  Material Type  Value","Attr - Colour","Attr - Colour Value","Collection Icon","Collection","Ranges","Categories","Image URL"
" Concealed Body of Single Lever Diverter - 40 mm Cartridge","","3400","AF901001CHBR","Flow Type","","Material Type","","Colour ","","","","","Faucets>Concealed Parts ","https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png  ||  https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png "
" Concealed Body of High Flow Diverter - 45 mm Cartridge","","3900","AF901021CHBR","Flow Type","","Material Type","","Colour ","","","","","Faucets>Concealed Parts ","https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png  ||  https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png "
" Concealed Body of 3 Inlet Diverter","","4700","AF901012CHBR","Flow Type","","Material Type","","Colour ","","","","","Faucets>Concealed Parts ","https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png  ||  https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png "
" Concealed Body of Wall Mounted Single Lever Basin Mixer - 35 mm Cartridge","","3350","AF901011CHBR","Flow Type","","Material Type","","Colour ","","","","","Faucets>Concealed Parts ","https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png  ||  https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png "
" Concealed Body of Wall Mounted basin cock with Spout and Operating Lever","","2000","AF900911CHBR","Flow Type","","Material Type","","Colour ","","","","","Faucets>Concealed Parts ","https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png  ||  https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png "
" Concealed Body of Flush Cock - Quarter Turn","","1900","AF900931CHBR","Flow Type","","Material Type","","Colour ","","","","","Faucets>Concealed Parts ","https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png  ||  https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png "
" Concealed Body of Stop Cock - 15 mm","","1150","AF900926CHBR","Flow Type","","Material Type","","Colour ","","","","","Faucets>Concealed Parts ","https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png  ||  https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png "
" Concealed Body of Stop Cock - 20 mm","","1200","AF900927CHBR","Flow Type","","Material Type","","Colour ","","","","","Faucets>Concealed Parts ","https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png  ||  https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png "
" Concealed Body of Thermostatic Diverter","","12500","AF901612CHBR","Flow Type","","Material Type","","Colour ","","","","","Faucets>Thermostatic Shower Mixer","https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png  ||  https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png "
"  Exposed Part of Thermostatic Diverter Rpund Knob","","17000","AF901613CHBR","Flow Type","","Material Type","","Colour ","Chrome","","","","Faucets>Thermostatic Shower Mixer","https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png  ||  https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png "
