"Product name ","Short Description","Regular Price","SKU","Attr - Distance","Attr - Distance Value","Attr - Trap Name","Attr - Trap Value","Attr - Seat Cover Name","Attr - Seat Cover Value","Attr - Colour","Attr - Colour Value","Attr - Feature Name","Attr - Feature Value","Feature Name 1","Feature Icon 1","Collection","Collection Icon","Categories","Image URL"
"Floor Mounting Toiletss -  505 x 340 x 390 mm","9 Litres Single Flush","5050","ASFM3008TWSN","Wall Distance","","Trap Type","S-Trap","Seat Cover","PP Normal Close Seat Cover","Colour ","True White","Feature","Slim Seat Cover","Slim Seat Cover","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/slim-seat-covers.png","Premia","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/premia.png","Sanitaryware>Toilets> Floor Mounting Toilets","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-5.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-5.png"
"Floor Mounting Toiletss -  505 x 340 x 390 mm","9 Litres Dual Flush","5250","ASFM3010TWSN","Wall Distance","","Trap Type","S-Trap","Seat Cover","PP Normal Close Seat Cover","Colour ","True White","Feature","Slim Seat Cover","Slim Seat Cover","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/slim-seat-covers.png","Premia","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/premia.png","Sanitaryware>Toilets> Floor Mounting Toilets","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-4.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-4.png"
"Floor Mounting Toiletss - 505 x 340 x 390 mm","7 Litres Single Flush","5150","ASFM3007TWSN","Wall Distance","","Trap Type","S-Trap","Seat Cover","PP Normal Close Seat Cover","Colour ","True White","Feature","Slim Seat Cover","Slim Seat Cover","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/slim-seat-covers.png","Premia","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/premia.png","Sanitaryware>Toilets> Floor Mounting Toilets","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-3.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-3.png"
"Floor Mounting Toiletss - 505 x 340 x 390 mm","7 Litres Dual Flush","5350","ASFM3009TWSN","Wall Distance","","Trap Type","S-Trap","Seat Cover","PP Normal Close Seat Cover","Colour ","True White","Feature","Slim Seat Cover","Slim Seat Cover","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/slim-seat-covers.png","Premia","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/premia.png","Sanitaryware>Toilets> Floor Mounting Toilets","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-1.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-1.png"
"Floor Mounting Toiletss - 530 x 360 x 390 mm","9 Litres Single Flush","5050","ASFM3003TWPN","Wall Distance","","Trap Type","S-Trap","Seat Cover","PP Normal Close Seat Cover","Colour ","True White","Feature","","","","Premia","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/premia.png","Sanitaryware>Toilets> Floor Mounting Toilets","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-2.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-2.png"
"Floor Mounting Toiletss - 530 x 360 x 390 mm","9 Litres Dual Flush","5250","ASFM3005TWPN","Wall Distance","","Trap Type","S-Trap","Seat Cover","PP Normal Close Seat Cover","Colour ","True White","Feature","","","","Premia","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/premia.png","Sanitaryware>Toilets> Floor Mounting Toilets","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-5.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-5.png"
"Floor Mounting Toiletss - 530 x 360 x 390 mm","7 Litres Single Flush","5250","ASFM3002TWPN","Wall Distance","","Trap Type","S-Trap","Seat Cover","PP Normal Close Seat Cover","Colour ","True White","Feature","","","","Premia","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/premia.png","Sanitaryware>Toilets> Floor Mounting Toilets","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-4.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-4.png"
"Floor Mounting Toiletss - 530 x 360 x 390 mm","7 Litres Dual Flush","5350","ASFM3004TWPN","Wall Distance","","Trap Type","S-Trap","Seat Cover","PP Normal Close Seat Cover","Colour ","True White","Feature","","","","Premia","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/premia.png","Sanitaryware>Toilets> Floor Mounting Toilets","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-3.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-3.png"
" Floor Mounting Toiletss - 505 x 340 x 390 mm","","3800","ASFM3006TWSN","Wall Distance","","Trap Type","S-Trap","Seat Cover","PP Normal Close Seat Cover","Colour ","True White","Feature","Slim Seat Cover","Slim Seat Cover","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/slim-seat-covers.png","Premia","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/premia.png","Sanitaryware>Toilets>Floor Mounting Toiletss","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-1.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-1.png"
" Floor Mounting Toiletss - 505 x 340 x 390 mm","","3800","ASFM3001TWPN","Wall Distance","","Trap Type","S-Trap","Seat Cover","PP Normal Close Seat Cover","Colour ","True White","Feature","","","","Premia","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/premia.png","Sanitaryware>Toilets>Floor Mounting Toiletss","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-2.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-2.png"
