"Product name ","Short Description","Regular Price","SKU","Attr - Distance","Attr - Distance Value","Attr - Size Name","Attr - Size Value","Attr  Flush Name","Attr - Flush Value","Attr - Seat Cover Name","Attr - Seat Cover Value","Attr - Colour","Attr - Colour Value","Attr - Feature Name","Attr - Feature Value","Feature Name 1","Feature Name 2","Feature Name 3","Feature Name 4","Collection","Collection Icon","Categories","Image URL"
"Wall Hung Basin - 480 x 360 x 125 mm ","","2000","ASWB3001TWXX","","","Size (Length)","451 - 500 mm ","","","","","Colour ","True White","","","","","","","Premia","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/premia.png","Sanitaryware>Basins>Wall Hung Basins","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-5.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-2.png "
"Wall Hung Basin - 395 x 310 x 150 mm ","","1900","ASWB3002TWXX","","","Size (Length)","350 - 400 mm ","","","","","Colour ","True White","","","","","","","Premia","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/premia.png","Sanitaryware>Basins>Wall Hung Basins"," https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-3.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-4.png"
"Wall Hung Basin - 505 x 415 x 195 mm ","","1700","ASWB1001TWXX","","","Size (Length)","500 - 550 mm ","","","","","Colour ","True White","","","","","","","Gloria","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/06/gloria.png","Sanitaryware>Basins>Wall Hung Basins","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-1.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-3.png "
"Wall Hung Basin - 550 x 400 x 200 mm","","1800","ASWB1002TWXX","","","Size (Length)","500 - 550 mm ","","","","","Colour ","True White","","","","","","","Gloria","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/06/gloria.png","Sanitaryware>Basins>Wall Hung Basins","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-5.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-2.png "
"Wall Hung Basin - 450x 360 x 160 mm ","","1500","ASWB1004TWXX","","","Size (Length)","401 - 450 mm ","","","","","Colour ","True White","","","","","","","Gloria","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/06/gloria.png","Sanitaryware>Basins>Wall Hung Basins","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-1.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-3.png "
"Wall Hung Basin - 400x 400 x 200 mm ","","1800","ASWB1005TWXX","","","Size (Length)","350 - 400 mm ","","","","","Colour ","True White","","","","","","","Gloria","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/06/gloria.png","Sanitaryware>Basins>Wall Hung Basins","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-2.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-4.png "
"Wall Hung Basin - 460 x 380 x 160 mm ","","1600","ASWB1006TWXX","","","Size (Length)","451 - 500 mm ","","","","","Colour ","True White","","","","","","","Gloria","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/06/gloria.png","Sanitaryware>Basins>Wall Hung Basins","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-5.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-2.png "
"Pedestals  - 500 x 400 mm","","1900","ASHF1001TWXX","","","Size (Length)","","","","","","Colour ","True White","","","","","","","Gloria","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/06/gloria.png","Sanitaryware>Basins>Pedestals ","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-1.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-3.png "
"Pedestals  - 550 x 400 mm","","1900","ASHF1002TWXX","","","Size (Length)","","","","","","Colour ","True White","","","","","","","Gloria","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/06/gloria.png","Sanitaryware>Basins>Pedestals ","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-2.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-4.png "
"Pedestals  - 450 x 350 mm","","2600","ASFP1001TWXX","","","Size (Length)","","","","","","Colour ","True White","","","","","","","Gloria","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/06/gloria.png","Sanitaryware>Basins>Pedestals ","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-5.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-2.png "
