"Product name ","Short Description","Regular Price","SKU","Image URL"
"P30 Basin Mixer Single Lever","","1700","AF300201CHBR","http://localhost/astral-image/A1---AF300201CHBR---Basin-M.png  ||  http://localhost/astral-image/A1---AF300201CHBR---Basin-M.png "
"P30 Basin Mixer Single Lever Extension Body","","1700","AF300206CHBR","http://localhost/astral-image/A1---AF300206CHBR---Basin-M.png ||  http://localhost/astral-image/A1---AF300206CHBR---Basin-M.png"
"P30 Wall Mounted Single Lever Basin Mixer with 2 mm Thick Solid Flange","","9850","AF300216CHBR","http://localhost/astral-image/A1---AF300216CHBR---Exposed.png ||  http://localhost/astral-image/A1---AF300216CHBR---Exposed.png"
"P30 Pillar Cock","","6000","AF300101CHBR","http://localhost/astral-image/A1---AF300101CHBR---Pillar-.png ||  http://localhost/astral-image/A1---AF300101CHBR---Pillar-.png"
"P30 Pillar Cock Extended Body","","1400","AF300106CHBR","http://localhost/astral-image/A1---AF300106CHBR---Pillar-.png ||  http://localhost/astral-image/A1---AF300106CHBR---Pillar-.png"
"P30 Basin MixerCentral Hole","","2000","AF300121CHBR","http://localhost/astral-image/A1---AF300121CHBR---Basin-M.png ||  http://localhost/astral-image/A1---AF300121CHBR---Basin-M.png"
"P30 Wall Mounted Basin Cock with Spout and Operating Lever","","3900","AF300111CHBR","http://localhost/astral-image/A1---AF300111CHBR---Exposed.png ||  http://localhost/astral-image/A1---AF300111CHBR---Exposed.png"
"P30 Single Lever Concealed Diverter","","5500","AF300301CHBR","http://localhost/astral-image/shower/A1---AF300301CHBR---Exposed.png ||  http://localhost/astral-image/shower/A1---AF300301CHBR---Exposed.png"
"P30 Single Lever High Flow Concealed Diverter","","8300","AF300321CHBR","http://localhost/astral-image/shower/A1---AF300301CHBR---Exposed.png ||  http://localhost/astral-image/shower/A1---AF300301CHBR---Exposed.png"
"P30 Single Lever 3 Inlet Concealed Diverter","","6300","AF300311CHBR","http://localhost/astral-image/shower/A1---AF300301CHBR---Exposed.png ||  http://localhost/astral-image/shower/A1---AF300301CHBR---Exposed.png"
"P30 Wall Mixer 3-in-1System with Provision for Hand Shower and Over Head Shower","","2100","AF300136CHBR","http://localhost/astral-image/shower/A1---AF300136CHBR---Wall-Mi.png ||  http://localhost/astral-image/shower/A1---AF300136CHBR---Wall-Mi.png"
"P30 Wall Mixer 2-in-1 System with Provision for Over Head Shower","","550","AF300141CHBR","http://localhost/astral-image/shower/A1---AF300141CHBR---Wall-Mi.png ||  http://localhost/astral-image/shower/A1---AF300141CHBR---Wall-Mi.png"
"P30 Bath Spout","","550","AF300331CHBR","http://localhost/astral-image/shower/A1---AF300301CHBR---Exposed.png ||  http://localhost/astral-image/shower/A1---AF300301CHBR---Exposed.png"
"P30 Bath Spout with Tipton","","1100","AF300336CHBR","http://localhost/astral-image/shower/A1---AF300336CHBR---Bathtub.png ||  http://localhost/astral-image/shower/A1---AF300336CHBR---Bathtub.png"
"P30 Sink Cock Wall Mounted with 150 mm Swinging Spout","","2200","AF300176CHBR","http://localhost/astral-image/kitchen/A1---AF300176CHBR---Sink-Co.png ||  http://localhost/astral-image/kitchen/A1---AF300176CHBR---Sink-Co.png"
"P30 Sink Cock Table Mounted with 150 mm Swinging Spout","","3200","AF300186CHBR","http://localhost/astral-image/kitchen/A1---AF300186CHBR---Sink-Co.png ||  http://localhost/astral-image/kitchen/A1---AF300186CHBR---Sink-Co.png"
"P30 Sink Mixer Wall Mounted with 150 mm Swinging Spout","","4300","AF300196CHBR","http://localhost/astral-image/kitchen/A1---AF300276CHBR---Sink-Mi.png ||  http://localhost/astral-image/kitchen/A1---AF300276CHBR---Sink-Mi.png"
"P30 Bib Cock Long Body","","2700","AF300156CHBR","http://localhost/astral-image/alind/A1---AF300156CHBR---Bib-Coc.png ||  http://localhost/astral-image/alind/A1---AF300156CHBR---Bib-Coc.png"
"P30 Bib Cock 2 Way","","1450","AF300161CHBR","http://localhost/astral-image/alind/A1---AF300161CHBR---Bib-Coc.png ||  http://localhost/astral-image/alind/A1---AF300161CHBR---Bib-Coc.png"
"P30 Concealed Flush Cock","","4150","AF300126CHBR","http://localhost/astral-image/alind/A1---AF300126CHBR---Exposed.png ||  http://localhost/astral-image/alind/A1---AF300126CHBR---Exposed.png"
"P30 Concealed Stop Cock-15 mm","","4950","AF300126CHBR","http://localhost/astral-image/alind/A1---AF300166CHBR---Angle-C.png ||  http://localhost/astral-image/alind/A1---AF300166CHBR---Angle-C.png"
"P30 Concealed Stop Cock-20 mm","","3200","AF300126CHBR","http://localhost/astral-image/alind/A1---AF300171CHBR---Angle-C.png ||  http://localhost/astral-image/alind/A1---AF300171CHBR---Angle-C.png"
"P30 Angle Cock","","1200","AF300166CHBR","http://localhost/astral-image/alind/A1---AF300166CHBR---Angle-C.png ||  http://localhost/astral-image/alind/A1---AF300166CHBR---Angle-C.png"
"P30 Angle Cock 2 Way","","1400","AF300171CHBR","http://localhost/astral-image/alind/A1---AF300171CHBR---Angle-C.png ||  http://localhost/astral-image/alind/A1---AF300171CHBR---Angle-C.png"
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
