"Product name ","Short Description","Regular Price","Colour ","Collection","Collection Icon","Categories","MATERIAL CODE","Image URL","Image URL1","Image URL2","Image URL3"
"One Piece Toilet - 672 x 375 x 750 mm","672 x 375 x 750 mm , S-250 MM, DUROPLAST SLIM SOFT CLOSE SEAT COVER","17500","TRUE WHITE","Imperia","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/06/imperia.png","Sanitaryware>Toilet>One Piece Toilet","ASOP5003TWDS","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/none_piece_toilet_cat.png","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/n2_piece_toilet_cat.png","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/nfloor_mounting.png","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/nwall_hung.png"
"One Piece Toilet -673 x 375 x 750 mm","673 x 375 x 750 mm , S-220MM, PP SLIM SOFT CLOSE SEAT COVER","17000","TRUE WHITE","Imperia","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/06/imperia.png","Sanitaryware>Toilet>One Piece Toilet","ASOP5002TWSP","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/none_piece_toilet_cat.png","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/n2_piece_toilet_cat.png","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/nfloor_mounting.png","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/nwall_hung.png"
"One Piece Toilet - 674 x 375 x 750 mm","674 x 375 x 750 mm , S-250 MM, PP SOFT CLOSE SEAT COVER","16000","TRUE WHITE","Imperia","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/06/imperia.png","Sanitaryware>Toilet>One Piece Toilet","ASOP5001TWPS","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/none_piece_toilet_cat.png","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/n2_piece_toilet_cat.png","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/nfloor_mounting.png","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/nwall_hung.png"
"One Piece Toilet - 675 x 375 x 750 mm","675 x 375 x 750 mm , S-250 MM, PP SOFT CLOSE SEAT COVER","16000","TRUE WHITE","Imperia","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/06/imperia.png","Sanitaryware>Toilet>One Piece Toilet","ASOP5007TWPS","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/none_piece_toilet_cat.png","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/n2_piece_toilet_cat.png","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/nfloor_mounting.png","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/nwall_hung.png"
"One Piece Toilet - 676 x 375 x 750 mm","676 x 375 x 750 mm , S-300 MM, PP SLIM SOFT CLOSE SEAT COVER","15500","TRUE WHITE","Premia","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/06/premia.png","Sanitaryware>Toilet>One Piece Toilet","ASOP3001TWSP","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/none_piece_toilet_cat.png","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/n2_piece_toilet_cat.png","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/nfloor_mounting.png","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/nwall_hung.png"
"One Piece Toilet - 677 x 375 x 750 mm","677 x 375 x 750 mm , S-300 MM, PP SLIM SOFT CLOSE SEAT COVER","15500","TRUE WHITE","Premia","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/06/premia.png","Sanitaryware>Toilet>One Piece Toilet","ASOP3011TWSP","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/none_piece_toilet_cat.png","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/n2_piece_toilet_cat.png","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/nfloor_mounting.png","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/nwall_hung.png"
"One Piece Toilet - 678 x 375 x 750 mm","678 x 375 x 750 mm , S-100 MM, PP SLIM SOFT CLOSE SEAT COVER","14500","TRUE WHITE","Premia","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/06/premia.png","Sanitaryware>Toilet>One Piece Toilet","ASOP3002TWSP","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/none_piece_toilet_cat.png","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/n2_piece_toilet_cat.png","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/nfloor_mounting.png","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/nwall_hung.png"
"One Piece Toilet - 679 x 375 x 750 mm","679 x 375 x 750 mm , S-100 MM, PP SLIM SOFT CLOSE SEAT COVER","14500","TRUE WHITE","Premia","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/06/premia.png","Sanitaryware>Toilet>One Piece Toilet","ASOP3003TWSP","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/none_piece_toilet_cat.png","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/n2_piece_toilet_cat.png","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/nfloor_mounting.png","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/nwall_hung.png"
"One Piece Toilet - 680 x 375 x 750 mm","680 x 375 x 750 mm , S-100 MM, PP SLIM SOFT CLOSE SEAT COVER","14500","TRUE WHITE","Premia","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/06/premia.png","Sanitaryware>Toilet>One Piece Toilet","ASOP3004TWSP","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/none_piece_toilet_cat.png","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/n2_piece_toilet_cat.png","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/nfloor_mounting.png","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/nwall_hung.png"
"One Piece Toilet - 681 x 375 x 750 mm","681 x 375 x 750 mm , S-220 MM, PP SOFT CLOSE SEAT COVER","13500","TRUE WHITE","Premia","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/06/premia.png","Sanitaryware>Toilet>One Piece Toilet","ASOP3009TWPS","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/none_piece_toilet_cat.png","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/n2_piece_toilet_cat.png","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/nfloor_mounting.png","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/nwall_hung.png"
