"Product name ","Short Description","Regular Price","MATERIAL CODE","Attr Distance","Attr Distance Value","Attr Size Name","Attr Size Value","Attr Flush Name","Attr Flush Value","Attr Seat Cover Name","Attr Seat Cover Value","Attr Colour","Attr Colour Value","Attr Feature Name","Attr Feature Value","Feature Name 1","Feature Icon 1","Feature Name 2","Feature Icon 2","Feature Name 3","Feature Icon 3","Feature Name 4","Feature Icon 4","Collection","Collection Icon","Categories","Image URL"
"One Piece Toilet - 670 x 375 x 750 mm","","18500","ASOP5005TWSD","Wall Distance","S-220 MM","Size (Length)","","Flush","","Seat Cover","PP Slim Soft Close Seat Cover","Colour ","True White","Feature","Whirlpool Flushing | True Rimless","Whirlpool Flushing","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/Whirlpool-flush.png","True Rimless","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/Whirlpool-flush.png","","","","","Imperia","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/06/imperia.png","Sanitaryware>Toilet>One Piece Toilet","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/none_piece_toilet_cat.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/n2_piece_toilet_cat.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/nfloor_mounting.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/nwall_hung.png"
"Wall Hung Toilet - 550 x 370 x 350 mm","","38000","ASWH7001TWSD","Wall Distance","","Size (Length)","","Flush","","Seat Cover","Duroplast Slim Soft Close Seat Cover","Colour ","True White","Feature","Invisible Installation | Slim Seat Cover | Self Cleaning Technology | True Rimless","Invisible Installation","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/Whirlpool-flush.png","Slim Seat Cover","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/Whirlpool-flush.png"," Self Cleaning Technology","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/Whirlpool-flush.png","True Rimless","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/Whirlpool-flush.png","Celestia","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/06/celestia-1.png","Sanitaryware>Toilet>Wall Hung Toilet","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/none_piece_toilet_cat.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/n2_piece_toilet_cat.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/nfloor_mounting.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/nwall_hung.png"
"Two Piece Floor Mounted Toilet - 655 x 410 x 810 mm","","4000","ASTF1001TWSP","Wall Distance","P-180 MM ","Size (Length)","","Flush","","Seat Cover","PP Slim Soft Close Seat Cover","Colour ","True White","Feature","Slim Seat Cover ","Slim Seat Cover ","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/Whirlpool-flush.png","","","","","","","Gloria ","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/06/gloria.png","Sanitaryware>Toilet>Two Piece Floor Mounted Toilet","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/none_piece_toilet_cat.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/n2_piece_toilet_cat.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/nfloor_mounting.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/nwall_hung.png"
"Two Piece Wall Hung Toilet - 630 x 360 x 770 mm ","","4250","ASTW1001TWSP","Wall Distance","","Size (Length)","","Flush","","Seat Cover","PP Slim Soft Close Seat Cover","Colour ","True White","Feature","Slim Seat Cover ","Slim Seat Cover ","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/Whirlpool-flush.png","","","","","","","Gloria ","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/06/gloria.png","Sanitaryware>Toilet>Two Piece Wall Hung Toilet","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/none_piece_toilet_cat.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/n2_piece_toilet_cat.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/nfloor_mounting.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/nwall_hung.png"
"Floor Mounting Toilet -  505 x 340 x 390 mm","","5050","ASFM3008TWSN","Wall Distance","S-TRAP","Size (Length)","","Flush","","Seat Cover","PP Normal Close Seat Cover","Colour ","True White","Feature","Slim Seat Cover ","Slim Seat Cover ","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/Whirlpool-flush.png","","","","","","","Premia","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/06/premia.png","Sanitaryware>Toilet>Floor Mounting Toilet","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/none_piece_toilet_cat.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/n2_piece_toilet_cat.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/nfloor_mounting.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/nwall_hung.png"
"Table Top Basin - 600 X 400 X 140 mm","With Ceramic Waste Coupling","20000","ASTT7002TWXX","Wall Distance","","Size (Length)",">550 mm ","Flush","","Seat Cover","","Colour ","True White","Feature","Self Cleaning ","Self Cleaning ","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/Whirlpool-flush.png","","","","","","","Celestia","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/06/celestia-1.png","Sanitaryware>Basin>Table Top Basin","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/none_piece_toilet_cat.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/n2_piece_toilet_cat.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/nfloor_mounting.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/nwall_hung.png"
"One Piece Basins with Integrated Pedestals - 495 x 415 x 380 mm ","","12500","ASOB5001TWXX","Wall Distance","","Size (Length)","451 - 500 mm ","Flush","","Seat Cover","","Colour ","True White","Feature","","","","","","","","","","Imperia","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/06/imperia.png","Sanitaryware>Basin>One Piece Basins with Integrated Pedestals ","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/none_piece_toilet_cat.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/n2_piece_toilet_cat.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/nfloor_mounting.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/nwall_hung.png"
"Wall Hung Basin - 480 x 360 x 125 mm ","","2000","ASWB3001TWXX","Wall Distance","","Size (Length)","451 - 500 mm ","Flush","","Seat Cover","","Colour ","True White","Feature","","","","","","","","","","Premia","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/06/premia.png","Sanitaryware>Basin>Wall Hung Basin","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/none_piece_toilet_cat.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/n2_piece_toilet_cat.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/nfloor_mounting.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/nwall_hung.png"
"Pedestal - 500 x 400 mm","","1900","ASHF1001TWXX","Wall Distance","","Size (Length)","451 - 500 mm ","Flush","","Seat Cover","","Colour ","True White","Feature","","","","","","","","","","Gloria","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/06/gloria.png","Sanitaryware>Basin>Pedestal","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/none_piece_toilet_cat.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/n2_piece_toilet_cat.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/nfloor_mounting.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/nwall_hung.png"
"Under Counter Basins - 490 x 370 x 170 mm","","3200","ASUB3001TWXX","Wall Distance","","Size (Length)","451 - 500 mm ","Flush","","Seat Cover","","Colour ","True White","Feature","","","","","","","","","","Premia","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/06/premia.png","Sanitaryware>Basin>Under Counter Basins ","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/none_piece_toilet_cat.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/n2_piece_toilet_cat.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/nfloor_mounting.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/nwall_hung.png"
