"Product name ","Short Description","Regular Price","SKU","Attr - Distance","Attr - Distance Value","Attr - Size Name","Attr - Size Value","Attr  Flush Name","Attr - Flush Value","Attr - Seat Cover Name","Attr - Seat Cover Value","Attr - Colour","Attr - Colour Value","Attr - Feature Name","Attr - Feature Value","Feature Name 1","Feature Icon 1","Feature Name 2","Feature Name 3","Feature Name 4","Collection","Collection Icon","Categories","Image URL"
"One Piece Toilets - 720 x 370 x 700 mm","","16000","ASOP5001TWPS","Wall Distance","S-250 MM","","","","","Seat Cover","PP Soft Close Seat Cover","Colour ","TRUE WHITE","Feature","","","","","","","Imperia","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/06/imperia.png","Sanitaryware>Toilets>One Piece Toilets"," https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-2.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-4.png|| https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-1.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-3.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-5.png  "
"One Piece Toilets - 705 x 360 x 760 mm","","15500","ASOP3001TWSP","Wall Distance","S-300 MM","","","","","Seat Cover","PP Soft Close Seat Cover","Colour ","TRUE WHITE","Feature","Slim Seat Cover","Slim Seat Cover","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/slim-seat-covers.png","","","","Premia","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/premia.png","Sanitaryware>Toilets>One Piece Toilets","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-5.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-2.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-1.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-3.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-4.png"
"One Piece Toilets - 765 x 360 x 665 mm","","14500","ASOP3003TWSP","Wall Distance","S-225 MM","","","","","Seat Cover","PP Soft Close Seat Cover","Colour ","TRUE WHITE","Feature","True Rimless | Jet Siphonic Flushing | Slim Seat Cover ","True Rimless","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/true-rimless.png","Jet Siphonic Flushing","Slim Seat Cover ","","Premia","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/premia.png","Sanitaryware>Toilets>One Piece Toilets"," https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-2.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-4.png|| https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-1.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-3.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-5.png  "
"One Piece Toilets - 765 x 360 x 665 mm","","14500","ASOP3002TWSP","Wall Distance","S-100 MM","","","","","Seat Cover","PP Soft Close Seat Cover","Colour ","TRUE WHITE","Feature","Slim Seat Cover","Slim Seat Cover","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/slim-seat-covers.png","","","","Premia","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/premia.png","Sanitaryware>Toilets>One Piece Toilets","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-5.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-2.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-1.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-3.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-4.png"
"One Piece Toilets - 720 x 365 x 680 mm ","","13500","ASOP3009TWPS","Wall Distance","S-220 MM","","","","","Seat Cover","PP Soft Close Seat Cover","Colour ","TRUE WHITE","Feature","","","","","","","Premia","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/premia.png","Sanitaryware>Toilets>One Piece Toilets"," https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-2.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-4.png|| https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-1.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-3.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-5.png  "
"One Piece Toilets - 750 x 365 x 675 mm ","","12500","ASOP3006TWSP","Wall Distance","S-225 MM","","","","","Seat Cover","PP Soft Close Seat Cover","Colour ","TRUE WHITE","Feature","Slim Seat Cover","Slim Seat Cover","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/slim-seat-covers.png","","","","Premia","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/premia.png","Sanitaryware>Toilets>One Piece Toilets","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-5.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-2.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-1.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-3.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-4.png"
"One Piece Toilets - 750 x 365 x 675 mm ","","12500","ASOP3005TWSP","Wall Distance","S-300 MM","","","","","Seat Cover","PP Soft Close Seat Cover","Colour ","TRUE WHITE","Feature","Slim Seat Cover","Slim Seat Cover","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/slim-seat-covers.png","","","","Premia","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/premia.png","Sanitaryware>Toilets>One Piece Toilets","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-1.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-3.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-2.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-4.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-5.png"
"Wall Hung Toilets - 550 x 370 x 350 mm","","38000","ASWH7001TWSD","","","","","","","Seat Cover","Duroplast Soft Close Seat Cover","Colour ","True White","Feature","Invisible Installation | True Rimless | Self Cleaning Technology | Slim Seat Cover ","Invisible Installation","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/invisible-installation.png","True Rimless","Self Cleaning Technology ","Slim Seat Cover ","Celestia","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/06/celestia-1.png","Sanitaryware>Toilets> Wall Hung Toilets"," https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-2.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-4.png|| https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-1.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-3.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-5.png  "
"Wall Hung Toilets - 520 x 360 x 360 mm","","34000","ASWH7002TWSD","","","","","","","Seat Cover","Duroplast Soft Close Seat Cover","Colour ","True White","Feature","Invisible Installation | True Rimless | Self Cleaning Technology | Slim Seat Cover ","Invisible Installation","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/invisible-installation.png","True Rimless","Self Cleaning Technology ","Slim Seat Cover ","Celestia","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/06/celestia-1.png","Sanitaryware>Toilets> Wall Hung Toilets","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-5.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-2.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-1.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-3.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-4.png"
"Wall Hung Toilets - 520 x 355 x 335 mm","","31000","ASWH7003TWSD","","","","","","","Seat Cover","Duroplast Soft Close Seat Cover","Colour ","True White","Feature","Invisible Installation | True Rimless | Self Cleaning Technology | Slim Seat Cover ","Invisible Installation","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/invisible-installation.png","True Rimless","Self Cleaning Technology ","Slim Seat Cover ","Celestia","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/06/celestia-1.png","Sanitaryware>Toilets> Wall Hung Toilets"," https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-2.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-4.png|| https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-1.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-3.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-5.png  "
"Wall Hung Toilets - 545 x 360 x 340 mm","","17000","ASWH5005TWDS","","","","","","","Seat Cover","Duroplast Soft Close Seat Cover","Colour ","True White","Feature","Invisible Installation","Invisible Installation","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/invisible-installation.png","","","","Imperia","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/06/imperia.png","Sanitaryware>Toilets> Wall Hung Toilets","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-5.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-2.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-1.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-3.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-4.png"
"Wall Hung Toilets - 495 x 350 x 325 mm","","16000","ASWH5002TWSD","","","","","","","Seat Cover","Duroplast Soft Close Seat Cover","Colour ","True White","Feature","Invisible Installation | True Rimless | Slim Seat Cover ","Invisible Installation","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/invisible-installation.png","True Rimless","Slim Seat Cover ","","Imperia","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/06/imperia.png","Sanitaryware>Toilets> Wall Hung Toilets"," https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-2.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-4.png|| https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-1.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-3.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-5.png  "
"Wall Hung Toilets - 540 x 365 x 340 mm","","15000","ASWH5001TWSD","","","","","","","Seat Cover","Duroplast Soft Close Seat Cover","Colour ","True White","Feature"," True Rimless | Slim Seat Cover ","True Rimless","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/true-rimless.png","Slim Seat Cover ","","","Imperia","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/06/imperia.png","Sanitaryware>Toilets> Wall Hung Toilets","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-5.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-2.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-1.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-3.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-4.png"
"Wall Hung Toilets - 540 x 365 x 340 mm","","30000","ASWH5001BMSD","","","","","","","Seat Cover","Duroplast Soft Close Seat Cover","Colour ","Black Matt","Feature"," True Rimless | Slim Seat Cover ","True Rimless","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/true-rimless.png","Slim Seat Cover ","","","Imperia","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/06/imperia.png","Sanitaryware>Toilets> Wall Hung Toilets","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-1.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-3.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-2.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-4.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-5.png"
