"Product name ","Short Description","Regular Price","SKU","Attr - Basin","Attr - Basin Value","Attr - Shower Name","Attr - Shower  Value","Attr  Kitchen Name","Attr - Kitchen Value","Attr - Seat Allied Products Name","Attr - Allied Products Value","Attr - Colour","Attr - Colour Value","Attr - Coneald Parts","Attr - Coneald Part Value","Concealed Body SKU Code","Concealed Body MRP","Exposed Part MRP","Collection Icon","Collection","Functions","Ranges","Categories","Image URL"
"C71 Basin Mixer Single Lever","","7000","AF710201CHBR","Basin Area","Basin mixer ","Shower Area","","Kitchen Area","","Allied Products","","Colour ","Chrome","Coneald Parts","","","","","https://astralbathware.com/wp-content/uploads/2022/06/celestia-1.png","Celestia","Single Lever","C71","Faucets>Basin Area","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300201CHBR---Basin-M.png  ||  https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300201CHBR---Basin-M.png "
"C71 Basin Mixer Single Lever Extension Body","","8100","AF710206CHBR","Basin Area","Basin mixer with Extended Body ","Shower Area","","Kitchen Area","","Allied Products","","Colour ","Chrome","Coneald Parts","","","","","https://astralbathware.com/wp-content/uploads/2022/06/celestia-1.png","Celestia","Single Lever","C71","Faucets>Basin Area","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300206CHBR---Basin-M.png ||  https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300206CHBR---Basin-M.png"
"C71 Wall Mounted Single Lever Basin Mixer with 2 mm Thick Solid Flange","","8850","AF710216CHBR","Basin Area","Wall mounted Basin Mixers","Shower Area","","Kitchen Area","","Allied Products","","Colour ","Chrome","Coneald Parts","","AF901011CHBR","3350","5500","https://astralbathware.com/wp-content/uploads/2022/06/celestia-1.png","Celestia","Single Lever","C71","Faucets>Basin Area","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300216CHBR---Exposed.png ||  https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300216CHBR---Exposed.png"
"C71 Pillar Cock","","2800","AF710101CHBR","Basin Area","Pillar cocks   ","Shower Area","","Kitchen Area","","Allied Products","","Colour ","Chrome","Coneald Parts","","","","","https://astralbathware.com/wp-content/uploads/2022/06/celestia-1.png","Celestia","Quarter Turn ","C71","Faucets>Basin Area","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300101CHBR---Pillar-.png ||  https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300101CHBR---Pillar-.png"
"C71 Pillar Cock Extended Body","","4100","AF710106CHBR","Basin Area","Pillar cocks with Extended body    ","Shower Area","","Kitchen Area","","Allied Products","","Colour ","Chrome","Coneald Parts","","","","","https://astralbathware.com/wp-content/uploads/2022/06/celestia-1.png","Celestia","Quarter Turn ","C71","Faucets>Basin Area","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300106CHBR---Pillar-.png ||  https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300106CHBR---Pillar-.png"
"C71 Wall Mounted Basin Cock with Spout and Operating Lever with 2 mm Thick Solid Flange","","5600","AF710116CHBR","Basin Area","Wall Mounted Basin Cocks    ","Shower Area","","Kitchen Area","","Allied Products","","Colour ","Chrome","Coneald Parts","","AF900911CHBR","2000","3600","https://astralbathware.com/wp-content/uploads/2022/06/celestia-1.png","Celestia","Quarter Turn ","C71","Faucets>Basin Area","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300121CHBR---Basin-M.png ||  https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300121CHBR---Basin-M.png"
"C71 Single Lever Concealed Diverter with 2 mm Thick Solid Flange","","5900","AF710306CHBR","Basin Area","","Shower Area","Single Lever Diverter","Kitchen Area","","Allied Products","","Colour ","Chrome","Coneald Parts","","AF901001CHBR","3400","2500","https://astralbathware.com/wp-content/uploads/2022/06/celestia-1.png","Celestia","Single Lever","C71","Faucets>Shower Area","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300111CHBR---Exposed.png ||  https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300111CHBR---Exposed.png"
"C71 Single Lever High Flow Concealed Diverter with 2 mm Thick Solid Flange","","6700","AF710326CHBR","Basin Area","","Shower Area","Single Lever Diverter - Hi- Flow ","Kitchen Area","","Allied Products","","Colour ","Chrome","Coneald Parts","","AF901021CHBR","3900","2800","https://astralbathware.com/wp-content/uploads/2022/06/celestia-1.png","Celestia","Single Lever","C71","Faucets>Shower Area","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300301CHBR---Exposed.png ||  https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300301CHBR---Exposed.png"
"C71 Single Lever 3 Inlet Concealed Diverter with 2mm Thick Solid Flange","","7500","AF710316CHBR","Basin Area","","Shower Area","Single Lever Diverter - 3 Inlet ","Kitchen Area","","Allied Products","","Colour ","Chrome","Coneald Parts","","AF901012CHBR","4700","2800","https://astralbathware.com/wp-content/uploads/2022/06/celestia-1.png","Celestia","Single Lever","C71","Faucets>Shower Area","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300301CHBR---Exposed.png ||  https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300301CHBR---Exposed.png"
"C71 Wall Mixer Single Lever 3-in-1 System with Provision for Hand Shower and Over head Shower","","12500","AF710236CHBR","Basin Area","","Shower Area","Wall Mixer Single Lever       ","Kitchen Area","","Allied Products","","Colour ","Chrome","Coneald Parts","","","","","https://astralbathware.com/wp-content/uploads/2022/06/celestia-1.png","Celestia","Single Lever","C71","Faucets>Shower Area","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300301CHBR---Exposed.png ||  https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300301CHBR---Exposed.png"
"C71 Wall Mixer Single Lever 2-in-1  System with Provision for Over Head Shower","","11500","AF710241CHBR","Basin Area","","Shower Area","Wall Mixer Single Lever       ","Kitchen Area","","Allied Products","","Colour ","Chrome","Coneald Parts","","","","","https://astralbathware.com/wp-content/uploads/2022/06/celestia-1.png","Celestia","Single Lever","C71","Faucetss>Shower Area","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300136CHBR---Wall-Mi.png ||  https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300136CHBR---Wall-Mi.png"
"C71 Bath Spout","","2300","AF710331CHBR","Basin Area","","Shower Area","Bath Spout ","Kitchen Area","","Allied Products","","Colour ","Chrome","Coneald Parts","","","","","https://astralbathware.com/wp-content/uploads/2022/06/celestia-1.png","Celestia","","C71","Faucets>Shower Area","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300141CHBR---Wall-Mi.png ||  https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300141CHBR---Wall-Mi.png"
"C71 Bath Spout with Tipton","","2900","AF710336CHBR","Basin Area","","Shower Area","Bath spout with tipton ","Kitchen Area","","Allied Products","","Colour ","Chrome","Coneald Parts","","","","","https://astralbathware.com/wp-content/uploads/2022/06/celestia-1.png","Celestia","","C71","Faucets>Shower Area","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300301CHBR---Exposed.png ||  https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300301CHBR---Exposed.png"
"C71 Sink Mixer Single Lever Wall Mounted with 230 mm Swinging Spout","","7000","AF710281CHBR","Basin Area","","Shower Area","","Kitchen Area","Wall Mounted Sink Mixer ","Allied Products","","Colour ","Chrome","Coneald Parts","","","","","https://astralbathware.com/wp-content/uploads/2022/06/celestia-1.png","Celestia","Single Lever","C71","Faucets>Kitchen Area","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300336CHBR---Bathtub.png ||  https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300336CHBR---Bathtub.png"
"C71 Sink Mixer Single Lever Table Mounted with 230mm Swinging Spout","","7500","AF710286CHBR","Basin Area","","Shower Area","","Kitchen Area","Table Mounted Single Lever Sink Mixer ","Allied Products","","Colour ","Chrome","Coneald Parts","","","","","https://astralbathware.com/wp-content/uploads/2022/06/celestia-1.png","Celestia","Single Lever","C71","Faucets>Kitchen Area","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300176CHBR---Sink-Co.png ||  https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300176CHBR---Sink-Co.png"
"C71 Sink Cock Table Mounted with 230 mm Swinging Spout","","5300","AF710191CHBR","Basin Area","","Shower Area","","Kitchen Area","Table mounted Sink cock with long Spout ","Allied Products","","Colour ","Chrome","Coneald Parts","","","","","https://astralbathware.com/wp-content/uploads/2022/06/celestia-1.png","Celestia","Quarter Turn ","C71","Faucets>Kitchen Area","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300186CHBR---Sink-Co.png ||  https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300186CHBR---Sink-Co.png"
"C71 Sink Cock Wall Mounted with 150 mm Swinging Spout","","4200","AF710176CHBR","Basin Area","","Shower Area","","Kitchen Area","Wall Mounted Sink Cock ","Allied Products","","Colour ","Chrome","Coneald Parts","","","","","https://astralbathware.com/wp-content/uploads/2022/06/celestia-1.png","Celestia","Quarter Turn ","C71","Faucets>Kitchen Area","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300276CHBR---Sink-Mi.png ||  https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300276CHBR---Sink-Mi.png"
"C71 Sink Cock Table Mounted with 150 mm Swinging Spout","","4400","AF710186CHBR","Basin Area","","Shower Area","","Kitchen Area","Table mounted Sink Cock ","Allied Products","","Colour ","Chrome","Coneald Parts","","","","","https://astralbathware.com/wp-content/uploads/2022/06/celestia-1.png","Celestia","Quarter Turn ","C71","Faucets>Kitchen Area","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300156CHBR---Bib-Coc.png ||  https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300156CHBR---Bib-Coc.png"
"C71 Bib Cock Long Body","","2600","AF710156CHBR","Basin Area","","Shower Area","","Kitchen Area","","Allied Products","Bib Cock ","Colour ","Chrome","Coneald Parts","","","","","https://astralbathware.com/wp-content/uploads/2022/06/celestia-1.png","Celestia","Quarter Turn ","C71","Faucets>Allied Products ","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300161CHBR---Bib-Coc.png ||  https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300161CHBR---Bib-Coc.png"
"C71 Bib Cock 2 Way","","2900","AF710161CHBR","Basin Area","","Shower Area","","Kitchen Area","","Allied Products","Bib Cock 2 Way ","Colour ","Chrome","Coneald Parts","","","","","https://astralbathware.com/wp-content/uploads/2022/06/celestia-1.png","Celestia","Quarter Turn ","C71","Faucets>Allied Products ","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300126CHBR---Exposed.png ||  https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300126CHBR---Exposed.png"
"C71 Concealed Flush Cock","","2800","AF710126CHBR","Basin Area","","Shower Area","","Kitchen Area","","Allied Products","Flush Cock ","Colour ","Chrome","Coneald Parts","","AF900931CHBR","1900","900","https://astralbathware.com/wp-content/uploads/2022/06/celestia-1.png","Celestia","","C71","Faucets>Allied Products ","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300166CHBR---Angle-C.png ||  https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300166CHBR---Angle-C.png"
