"Product name ","Short Description","Regular Price","SKU","Attr - Basin","Attr - Basin Value","Attr - Shower Name","Attr - Shower  Value","Attr  Kitchen Name","Attr - Kitchen Value","Attr - Seat Allied Products Name","Attr - Allied Products Value","Attr - Colour","Attr - Colour Value","Attr - Coneald Parts","Attr - Coneald Part Value","Conceald Product Code","Concealed Part MRP","Upper Part MRP","Collection Icon","Collection","Functions","Ranges","Categories","Image URL"
"P30 Basin Mixer Single Lever","","1700","AF300201CHBR","Basin Area","Basin Mixer ","Shower Area","","Kitchen Area","","Allied Products","","Colour ","Chrome","Coneald Parts","","","","","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/premia.png","Premia","Single Lever","P30","Faucets>Basin Area ","http://localhost/astral-image/A1---AF300201CHBR---Basin-M.png"
"P30 Basin Mixer Single Lever Extension Body","","1700","AF300206CHBR","Basin Area","Basin Mixer with Extended Body ","Shower Area","","Kitchen Area","","Allied Products","","Colour ","Chrome","Coneald Parts","","","","","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/premia.png","Premia","Single Lever","P30","Faucets>Basin Area","http://localhost/astral-image/A1---AF300206CHBR---Basin-M.png"
"P30 Wall Mounted Single Lever Basin Mixer with 2 mm Thick Solid Flange","","9850","AF300216CHBR","Basin Area","Wall mounted Basin Mixers","Shower Area","","Kitchen Area","","Allied Products","","Colour ","Chrome","Coneald Parts","","AF901011CHBR","₹ 3,350","₹ 6,500","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/premia.png","Premia","Single Lever","P30","Faucets>Basin Area","http://localhost/astral-image/A1---AF300216CHBR---Exposed.png"
"P30 Pillar Cock","","6000","AF300101CHBR","Basin Area","Pillar cocks   ","Shower Area","","Kitchen Area","","Allied Products","","Colour ","Chrome","Coneald Parts","","","","","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/premia.png","Premia","Quarter Turn ","P30","Faucets>Basin Area","http://localhost/astral-image/A1---AF300101CHBR---Pillar-.png"
"P30 Pillar Cock Extended Body","","1400","AF300106CHBR","Basin Area","Pillar Cock with Extended body    ","Shower Area","","Kitchen Area","","Allied Products","","Colour ","Chrome","Coneald Parts","","","","","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/premia.png","Premia","Quarter Turn ","P30","Faucets>Basin Area","http://localhost/astral-image/A1---AF300106CHBR---Pillar-.png"
"P30 Basin MixerCentral Hole","","2000","AF300121CHBR","Basin Area","Central Hole Basin Mixer ","Shower Area","","Kitchen Area","","Allied Products","","Colour ","Chrome","Coneald Parts","","","","","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/premia.png","Premia","Quarter Turn ","P30","Faucets>Basin Area","http://localhost/astral-image/A1---AF300121CHBR---Basin-M.png"
"P30 Wall Mounted Basin Cock with Spout and Operating Lever","","3900","AF300111CHBR","Basin Area","Wall Mounted Basin Cock","Shower Area","","Kitchen Area","","Allied Products","","Colour ","Chrome","Coneald Parts","","AF900911CHBR","₹ 2,000","₹ 1,900","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/premia.png","Premia","Quarter Turn ","P30","Faucets>Basin Area","http://localhost/astral-image/A1---AF300111CHBR---Exposed.png"
"P30 Single Lever Concealed Diverter","","5500","AF300301CHBR","Basin Area","","Shower Area","Single Lever Diverter","Kitchen Area","","Allied Products","","Colour ","Chrome","Coneald Parts","","AF901001CHBR","₹ 3,400","₹ 2,100","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/premia.png","Premia","Single Lever","P30","Faucets>Shower Area","http://localhost/astral-image/shower/A1---AF300301CHBR---Exposed.png"
"P30 Single Lever High Flow Concealed Diverter","","8300","AF300321CHBR","Basin Area","","Shower Area","Single Lever Diverter - Hi- Flow ","Kitchen Area","","Allied Products","","Colour ","Chrome","Coneald Parts","","AF901021CHBR","₹ 3,900","₹ 4,400","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/premia.png","Premia","Single Lever","P30","Faucets>Shower Area","http://localhost/astral-image/shower/A1---AF300301CHBR---Exposed.png"
"P30 Single Lever 3 Inlet Concealed Diverter","","6300","AF300311CHBR","Basin Area","","Shower Area","Single Lever Diverter 3 Inlet ","Kitchen Area","","Allied Products","","Colour ","Chrome","Coneald Parts","","AF901012CHBR","₹ 4,700","₹ 1,600","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/premia.png","Premia","Single Lever","P30","Faucets>Shower Area","http://localhost/astral-image/shower/A1---AF300301CHBR---Exposed.png"
"P30 Wall Mixer 3-in-1System with Provision for Hand Shower and Over Head Shower","","2100","AF300136CHBR","Basin Area","","Shower Area","Wall Mixer Quarter Turn  ","Kitchen Area","","Allied Products","","Colour ","Chrome","Coneald Parts","","","","","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/premia.png","Premia","Quarter Turn ","P30","Faucets>Shower Area","http://localhost/astral-image/shower/A1---AF300136CHBR---Wall-Mi.png"
"P30 Wall Mixer 2-in-1 System with Provision for Over Head Shower","","550","AF300141CHBR","Basin Area","","Shower Area","Wall Mixer Quarter Turn  ","Kitchen Area","","Allied Products","","Colour ","Chrome","Coneald Parts","","","","","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/premia.png","Premia","Quarter Turn ","P30","Faucets>Shower Area","http://localhost/astral-image/shower/A1---AF300141CHBR---Wall-Mi.png"
"P30 Bath Spout","","550","AF300331CHBR","Basin Area","","Shower Area","Bath Spout ","Kitchen Area","","Allied Products","","Colour ","Chrome","Coneald Parts","","","","","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/premia.png","Premia","","P30","Faucets>Shower Area","http://localhost/astral-image/shower/A1---AF300301CHBR---Exposed.png"
"P30 Bath Spout with Tipton","","1100","AF300336CHBR","Basin Area","","Shower Area","Bath spout with Tipton ","Kitchen Area","","Allied Products","","Colour ","Chrome","Coneald Parts","","","","","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/premia.png","Premia","","P30","Faucets>Shower Area","http://localhost/astral-image/shower/A1---AF300336CHBR---Bathtub.png"
"P30 Sink Cock Wall Mounted with 150 mm Swinging Spout","","2200","AF300176CHBR","Basin Area","","Shower Area","","Kitchen Area","Wall Mounted Sink Cock ","Allied Products","","Colour ","Chrome","Coneald Parts","","","","","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/premia.png","Premia","Quarter Turn ","P30","Faucets>Kitchen Area","http://localhost/astral-image/kitchen/A1---AF300176CHBR---Sink-Co.png"
"P30 Sink Cock Table Mounted with 150 mm Swinging Spout","","3200","AF300186CHBR","Basin Area","","Shower Area","","Kitchen Area","Table Mounted Sink Cock ","Allied Products","","Colour ","Chrome","Coneald Parts","","","","","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/premia.png","Premia","Quarter Turn ","P30","Faucets>Kitchen Area","http://localhost/astral-image/kitchen/A1---AF300186CHBR---Sink-Co.png"
"P30 Sink Mixer Wall Mounted with 150 mm Swinging Spout","","4300","AF300196CHBR","Basin Area","","Shower Area","","Kitchen Area","Wall Mounted Sink Mixer - Qurater Turn ","Allied Products","","Colour ","Chrome","Coneald Parts","","","","","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/premia.png","Premia","Quarter Turn ","P30","Faucets>Kitchen Area","http://localhost/astral-image/kitchen/A1---AF300276CHBR---Sink-Mi.png"
"P30 Bib Cock Long Body","","2700","AF300156CHBR","Basin Area","","Shower Area","","Kitchen Area","","Allied Products","Bib Cock ","Colour ","Chrome","Coneald Parts","","","","","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/premia.png","Premia","Quarter Turn ","P30","Faucets>Allied Products ","http://localhost/astral-image/alind/A1---AF300156CHBR---Bib-Coc.png"
"P30 Bib Cock 2 Way","","1450","AF300161CHBR","Basin Area","","Shower Area","","Kitchen Area","","Allied Products","Bib Cock 2 Way ","Colour ","Chrome","Coneald Parts","","","","","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/premia.png","Premia","Quarter Turn ","P30","Faucets>Allied Products ","http://localhost/astral-image/alind/A1---AF300161CHBR---Bib-Coc.png"
"P30 Concealed Flush Cock","","4150","AF300126CHBR","Basin Area","","Shower Area","","Kitchen Area","","Allied Products","Flush Cock ","Colour ","Chrome","Coneald Parts","","AF900931CHBR","₹ 1,900","₹ 2,250","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/premia.png","Premia","","P30","Faucets>Allied Products ","http://localhost/astral-image/alind/A1---AF300126CHBR---Exposed.png"
"P30 Concealed Stop Cock-15 mm","","4950","AF300126CHBR","Basin Area","","Shower Area","","Kitchen Area","","Allied Products","Concealed Stop Cock ","Colour ","Chrome","Coneald Parts","Concealed Stop Cock 15 mm ","AF900926CHBR","₹ 1,150","₹ 3,800","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/premia.png","Premia","","P30","Faucets>Allied Products ","http://localhost/astral-image/alind/A1---AF300166CHBR---Angle-C.png"
"P30 Concealed Stop Cock-20 mm","","3200","AF300126CHBR","Basin Area","","Shower Area","","Kitchen Area","","Allied Products","Concealed Stop Cock ","Colour ","Chrome","Coneald Parts","Concealed Stop Cock 20mm ","AF900927CHBR","₹ 1,200","₹ 2,000","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/premia.png","Premia","","P30","Faucets>Allied Products ","http://localhost/astral-image/alind/A1---AF300171CHBR---Angle-C.png"
