"Product name ","Short Description","Regular Price","SKU","Attr - Basin","Attr - Basin Value","Attr - Shower Name","Attr - Shower  Value","Attr  Kitchen Name","Attr - Kitchen Value","Attr - Seat Allied Products Name","Attr - Allied Products Value","Attr - Colour","Attr - Colour Value","Attr - Coneald Parts","Attr - Coneald Part Value","Concealed Body SKU Code","Concealed Body MRP","Exposed Part MRP","Collection Icon","Collection","Functions","Ranges","Categories","Image URL"
"C72 Basin Mixer Single Lever","","7500","AF720201CHBR","Basin Area","Basin mixer ","Shower Area","","Kitchen Area","","Allied Products","","Colour ","Chrome","Coneald Parts","","","","","https://astralbathware.com/wp-content/uploads/2022/06/celestia-1.png","Celestia","Single Lever","C72","Faucets>Basin Area","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300201CHBR---Basin-M.png  ||  https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300201CHBR---Basin-M.png "
"C72 Basin Mixer Single Lever Extension Body","","8600","AF720206CHBR","Basin Area","Basin mixer with Extended Body ","Shower Area","","Kitchen Area","","Allied Products","","Colour ","Chrome","Coneald Parts","","","","","https://astralbathware.com/wp-content/uploads/2022/06/celestia-1.png","Celestia","Single Lever","C72","Faucets>Basin Area","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300206CHBR---Basin-M.png ||  https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300206CHBR---Basin-M.png"
"C72 Wall Mounted Single Lever Basin Mixer with 2 mm Thick Solid Flange","","9350","AF720216CHBR","Basin Area","Wall mounted Basin Mixers","Shower Area","","Kitchen Area","","Allied Products","","Colour ","Chrome","Coneald Parts","","AF901011CHBR","3350","6000","https://astralbathware.com/wp-content/uploads/2022/06/celestia-1.png","Celestia","Single Lever","C72","Faucets>Basin Area","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300216CHBR---Exposed.png ||  https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300216CHBR---Exposed.png"
"C72 Pillar Cock","","3000","AF720101CHBR","Basin Area","Pillar cocks   ","Shower Area","","Kitchen Area","","Allied Products","","Colour ","Chrome","Coneald Parts","","","","","https://astralbathware.com/wp-content/uploads/2022/06/celestia-1.png","Celestia","Quarter Turn ","C72","Faucets>Basin Area","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300101CHBR---Pillar-.png ||  https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300101CHBR---Pillar-.png"
"C72 Pillar Cock Extended Body","","4300","AF720106CHBR","Basin Area","Pillar cocks with Extended body    ","Shower Area","","Kitchen Area","","Allied Products","","Colour ","Chrome","Coneald Parts","","","","","https://astralbathware.com/wp-content/uploads/2022/06/celestia-1.png","Celestia","Quarter Turn ","C72","Faucets>Basin Area","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300106CHBR---Pillar-.png ||  https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300106CHBR---Pillar-.png"
"C72 Wall Mounted Basin Cock with Spout and Operating Lever with 2 mm Thick Solid Flange","","5800","AF720116CHBR","Basin Area","Wall Mounted Basin Cocks    ","Shower Area","","Kitchen Area","","Allied Products","","Colour ","Chrome","Coneald Parts","","AF900911CHBR","2000","3800","https://astralbathware.com/wp-content/uploads/2022/06/celestia-1.png","Celestia","Quarter Turn ","C72","Faucets>Basin Area","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300121CHBR---Basin-M.png ||  https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300121CHBR---Basin-M.png"
"C72 Single Lever Concealed Diverter with 2 mm Thick Solid Flange","","6000","AF720306CHBR","Basin Area","","Shower Area","Single Lever Diverter","Kitchen Area","","Allied Products","","Colour ","Chrome","Coneald Parts","","AF901001CHBR","3400","2600","https://astralbathware.com/wp-content/uploads/2022/06/celestia-1.png","Celestia","Single Lever","C72","Faucets>Shower Area","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300111CHBR---Exposed.png ||  https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300111CHBR---Exposed.png"
"C72 Single Lever High Flow Concealed Diverter with 2 mm Thick Solid Flange","","6700","AF720326CHBR","Basin Area","","Shower Area","Single Lever Diverter - Hi- Flow ","Kitchen Area","","Allied Products","","Colour ","Chrome","Coneald Parts","","AF901021CHBR","3900","2800","https://astralbathware.com/wp-content/uploads/2022/06/celestia-1.png","Celestia","Single Lever","C72","Faucets>Shower Area","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300301CHBR---Exposed.png ||  https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300301CHBR---Exposed.png"
"C72 Single Lever 3 Inlet Concealed Diverter with 2mm Thick Solid Flange","","7500","AF720316CHBR","Basin Area","","Shower Area","Single Lever Diverter - 3 Inlet ","Kitchen Area","","Allied Products","","Colour ","Chrome","Coneald Parts","","AF901012CHBR","4700","2800","https://astralbathware.com/wp-content/uploads/2022/06/celestia-1.png","Celestia","Single Lever","C72","Faucets>Shower Area","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300301CHBR---Exposed.png ||  https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300301CHBR---Exposed.png"
"C72 Wall Mixer Single Lever 3-in-1 System with Provision for Hand Shower and Over Head Shower","","13000","AF720236CHBR","Basin Area","","Shower Area","Wall Mixer Single Lever       ","Kitchen Area","","Allied Products","","Colour ","Chrome","Coneald Parts","","","","","https://astralbathware.com/wp-content/uploads/2022/06/celestia-1.png","Celestia","Single Lever","C72","Faucets>Shower Area","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300301CHBR---Exposed.png ||  https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300301CHBR---Exposed.png"
